epoch,step,loss,nll_heldin,nll_heldout,smth_nll_heldin,smth_nll_heldout,wt_kl,wt_co_kl,wt_ic_kl,wt_l2,gnorm,lr,kl_wt,l2_wt,val_loss,val_nll_heldin,val_nll_heldout,smth_val_nll_heldin,smth_val_nll_heldout,val_wt_kl,val_wt_co_kl,val_wt_ic_kl,val_wt_l2,MODEL.ALIGN_MODE,MODEL.CD_PASS_RATE,MODEL.CD_RATE,MODEL.CELL_CLIP,MODEL.CI_ENC_DIM,MODEL.CI_LAG,MODEL.CON_DIM,MODEL.CO_AUTOREG_PRIOR,MODEL.CO_DIM,MODEL.CO_PRIOR_NVAR,MODEL.CO_PRIOR_TAU,MODEL.CS_DIM,MODEL.DATA_DIM,MODEL.DROPOUT_RATE,MODEL.EXT_INPUT_DIM,MODEL.FAC_DIM,MODEL.FP_LEN,MODEL.GEN_DIM,MODEL.IC_DIM,MODEL.IC_ENC_DIM,MODEL.IC_ENC_SEQ_LEN,MODEL.IC_POST_VAR_MIN,MODEL.IC_PRIOR_VAR,MODEL.READIN_DIM,MODEL.SAMPLE_POSTERIORS,MODEL.SEQ_LEN,MODEL.SV_RATE,MODEL.SV_SEED,SEED,TRAIN.ADAM_EPSILON,TRAIN.BATCH_SIZE,TRAIN.DATA.DIR,TRAIN.DATA.PREFIX,TRAIN.EAGER_MODE,TRAIN.ENCODERS_ONLY,TRAIN.KL.CO_WEIGHT,TRAIN.KL.IC_WEIGHT,TRAIN.KL.INCREASE_EPOCH,TRAIN.KL.START_EPOCH,TRAIN.L2.CI_ENC_SCALE,TRAIN.L2.CON_SCALE,TRAIN.L2.GEN_SCALE,TRAIN.L2.IC_ENC_SCALE,TRAIN.L2.INCREASE_EPOCH,TRAIN.L2.READIN_SCALE,TRAIN.L2.START_EPOCH,TRAIN.LOG_HPS,TRAIN.LOSS_SCALE,TRAIN.LR.DECAY,TRAIN.LR.INIT,TRAIN.LR.PATIENCE,TRAIN.LR.STOP,TRAIN.MAX_EPOCHS,TRAIN.MAX_GRAD_NORM,TRAIN.MODEL_DIR,TRAIN.NLL_MEAN,TRAIN.OVERWRITE,TRAIN.PATIENCE,TRAIN.PBT_MODE,TRAIN.TUNE_MODE,TRAIN.USE_TB
11,11,0.15817943,0.156721,nan,0.17689648,nan,0.010723624,0.003862911,0.0068607135,1.5749156e-05,1001.4648,0.004,0.13580246,0.13580246,0.12710916,0.12633912,nan,0.1333305,nan,0.005654483,0.0014820499,0.004172433,1.5839796e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,35,142,0.49601145759610393,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_small_train_",False,False,2.9076303503312823e-06,9.983287386641105e-06,80,0,0.0,0.0005801894519554886,0.004437843785587592,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_small_long/tuneLFADS_18_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.49601,TRAIN.KL.CO_WEIGHT=2.9076e-06,TRAIN.KL.IC_WEIGHT=9.9833e-06,TRAIN.L2.CON_2021-08-06_04-03-23xughc6fn/model_dir",True,True,5000,True,True,False
12,12,0.13812923,0.13696711,nan,0.14894593,nan,0.007828566,0.0031818298,0.004646736,1.5839796e-05,619.73145,0.004,0.14814815,0.14814815,0.117808156,0.11730129,nan,0.122110054,nan,0.0034053957,0.0012389019,0.0021664938,1.5926695e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,35,142,0.49601145759610393,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_small_train_",False,False,2.9076303503312823e-06,9.983287386641105e-06,80,0,0.0,0.0005801894519554886,0.004437843785587592,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_small_long/tuneLFADS_18_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.49601,TRAIN.KL.CO_WEIGHT=2.9076e-06,TRAIN.KL.IC_WEIGHT=9.9833e-06,TRAIN.L2.CON_2021-08-06_04-03-23xughc6fn/model_dir",True,True,5000,True,True,False
13,13,0.12545961,0.124628186,nan,0.13192351,nan,0.0051645106,0.0026398,0.0025247107,1.5926695e-05,408.9554,0.004,0.16049382,0.16049382,0.11247889,0.112060174,nan,0.11507514,nan,0.0025928842,0.0010948271,0.0014980572,1.6009299e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,35,142,0.49601145759610393,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_small_train_",False,False,2.9076303503312823e-06,9.983287386641105e-06,80,0,0.0,0.0005801894519554886,0.004437843785587592,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_small_long/tuneLFADS_18_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.49601,TRAIN.KL.CO_WEIGHT=2.9076e-06,TRAIN.KL.IC_WEIGHT=9.9833e-06,TRAIN.L2.CON_2021-08-06_04-03-23xughc6fn/model_dir",True,True,5000,True,True,False
14,14,0.11879717,0.1181085,nan,0.12225301,nan,0.0039684065,0.0022247285,0.001743678,1.6009299e-05,289.2635,0.004,0.17283951,0.17283951,0.10862068,0.10820624,nan,0.11026691,nan,0.002381754,0.0010120833,0.0013696708,1.608805e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,35,142,0.49601145759610393,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_small_train_",False,False,2.9076303503312823e-06,9.983287386641105e-06,80,0,0.0,0.0005801894519554886,0.004437843785587592,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_small_long/tuneLFADS_18_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.49601,TRAIN.KL.CO_WEIGHT=2.9076e-06,TRAIN.KL.IC_WEIGHT=9.9833e-06,TRAIN.L2.CON_2021-08-06_04-03-23xughc6fn/model_dir",True,True,5000,True,True,False
15,15,0.113761194,0.11309825,nan,0.115844674,nan,0.0035638171,0.0019428827,0.0016209345,1.608805e-05,215.0232,0.004,0.18518518,0.18518518,0.10565979,0.10524198,nan,0.10674946,nan,0.0022400117,0.00094091,0.0012991016,1.6162257e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,35,142,0.49601145759610393,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_small_train_",False,False,2.9076303503312823e-06,9.983287386641105e-06,80,0,0.0,0.0005801894519554886,0.004437843785587592,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_small_long/tuneLFADS_18_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.49601,TRAIN.KL.CO_WEIGHT=2.9076e-06,TRAIN.KL.IC_WEIGHT=9.9833e-06,TRAIN.L2.CON_2021-08-06_04-03-23xughc6fn/model_dir",True,True,5000,True,True,False
16,16,0.10833235,0.10769605,nan,0.11014064,nan,0.0032051424,0.0016149669,0.0015901754,1.6162257e-05,169.00984,0.004,0.19753087,0.19753087,0.10055695,0.100112215,nan,0.10210339,nan,0.0022352438,0.00095024845,0.0012849953,1.623146e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,35,142,0.49601145759610393,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_small_train_",False,False,2.9076303503312823e-06,9.983287386641105e-06,80,0,0.0,0.0005801894519554886,0.004437843785587592,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_small_long/tuneLFADS_18_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.49601,TRAIN.KL.CO_WEIGHT=2.9076e-06,TRAIN.KL.IC_WEIGHT=9.9833e-06,TRAIN.L2.CON_2021-08-06_04-03-23xughc6fn/model_dir",True,True,5000,True,True,False
17,17,0.10400681,0.1033701,nan,0.10540126,nan,0.0030175312,0.0014399573,0.0015775741,1.623146e-05,125.414505,0.004,0.20987654,0.20987654,0.09613083,0.09565527,nan,0.09758971,nan,0.0022496358,0.0009737515,0.0012758843,1.6297565e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,35,142,0.49601145759610393,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_small_train_",False,False,2.9076303503312823e-06,9.983287386641105e-06,80,0,0.0,0.0005801894519554886,0.004437843785587592,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_small_long/tuneLFADS_18_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.49601,TRAIN.KL.CO_WEIGHT=2.9076e-06,TRAIN.KL.IC_WEIGHT=9.9833e-06,TRAIN.L2.CON_2021-08-06_04-03-23xughc6fn/model_dir",True,True,5000,True,True,False
18,18,0.10210894,0.10147138,nan,0.102650344,nan,0.0028527335,0.0012898805,0.001562853,1.6297565e-05,156.15091,0.004,0.22222222,0.22222222,0.094518006,0.09401627,nan,0.0950883,nan,0.002241446,0.0009934364,0.0012480095,1.6360322e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,35,142,0.49601145759610393,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_small_train_",False,False,2.9076303503312823e-06,9.983287386641105e-06,80,0,0.0,0.0005801894519554886,0.004437843785587592,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_small_long/tuneLFADS_18_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.49601,TRAIN.KL.CO_WEIGHT=2.9076e-06,TRAIN.KL.IC_WEIGHT=9.9833e-06,TRAIN.L2.CON_2021-08-06_04-03-23xughc6fn/model_dir",True,True,5000,True,True,False
19,19,0.10078787,0.10015494,nan,0.100903556,nan,0.0026819403,0.0011615042,0.001520436,1.6360322e-05,167.4232,0.004,0.2345679,0.2345679,0.09432535,0.09381703,nan,0.09419841,nan,0.0021506115,0.00097163644,0.0011789751,1.6419459e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,35,142,0.49601145759610393,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_small_train_",False,False,2.9076303503312823e-06,9.983287386641105e-06,80,0,0.0,0.0005801894519554886,0.004437843785587592,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_small_long/tuneLFADS_18_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.49601,TRAIN.KL.CO_WEIGHT=2.9076e-06,TRAIN.KL.IC_WEIGHT=9.9833e-06,TRAIN.L2.CON_2021-08-06_04-03-23xughc6fn/model_dir",True,True,5000,True,True,False
20,20,0.099022694,0.098376326,nan,0.0991345,nan,0.0026013623,0.0010835858,0.0015177764,1.6419459e-05,71.00593,0.004,0.24691358,0.24691358,0.09480158,0.09429874,nan,0.09426864,nan,0.0020200177,0.0009692509,0.0010507667,1.647616e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,35,142,0.49601145759610393,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_small_train_",False,False,2.9076303503312823e-06,9.983287386641105e-06,80,0,0.0,0.0005801894519554886,0.004437843785587592,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_small_long/tuneLFADS_18_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.49601,TRAIN.KL.CO_WEIGHT=2.9076e-06,TRAIN.KL.IC_WEIGHT=9.9833e-06,TRAIN.L2.CON_2021-08-06_04-03-23xughc6fn/model_dir",True,True,5000,True,True,False
