epoch,step,loss,nll_heldin,nll_heldout,smth_nll_heldin,smth_nll_heldout,wt_kl,wt_co_kl,wt_ic_kl,wt_l2,gnorm,lr,kl_wt,l2_wt,val_loss,val_nll_heldin,val_nll_heldout,smth_val_nll_heldin,smth_val_nll_heldout,val_wt_kl,val_wt_co_kl,val_wt_ic_kl,val_wt_l2,MODEL.ALIGN_MODE,MODEL.CD_PASS_RATE,MODEL.CD_RATE,MODEL.CELL_CLIP,MODEL.CI_ENC_DIM,MODEL.CI_LAG,MODEL.CON_DIM,MODEL.CO_AUTOREG_PRIOR,MODEL.CO_DIM,MODEL.CO_PRIOR_NVAR,MODEL.CO_PRIOR_TAU,MODEL.CS_DIM,MODEL.DATA_DIM,MODEL.DROPOUT_RATE,MODEL.EXT_INPUT_DIM,MODEL.FAC_DIM,MODEL.FP_LEN,MODEL.GEN_DIM,MODEL.IC_DIM,MODEL.IC_ENC_DIM,MODEL.IC_ENC_SEQ_LEN,MODEL.IC_POST_VAR_MIN,MODEL.IC_PRIOR_VAR,MODEL.READIN_DIM,MODEL.SAMPLE_POSTERIORS,MODEL.SEQ_LEN,MODEL.SV_RATE,MODEL.SV_SEED,SEED,TRAIN.ADAM_EPSILON,TRAIN.BATCH_SIZE,TRAIN.DATA.DIR,TRAIN.DATA.PREFIX,TRAIN.EAGER_MODE,TRAIN.ENCODERS_ONLY,TRAIN.KL.CO_WEIGHT,TRAIN.KL.IC_WEIGHT,TRAIN.KL.INCREASE_EPOCH,TRAIN.KL.START_EPOCH,TRAIN.L2.CI_ENC_SCALE,TRAIN.L2.CON_SCALE,TRAIN.L2.GEN_SCALE,TRAIN.L2.IC_ENC_SCALE,TRAIN.L2.INCREASE_EPOCH,TRAIN.L2.READIN_SCALE,TRAIN.L2.START_EPOCH,TRAIN.LOG_HPS,TRAIN.LOSS_SCALE,TRAIN.LR.DECAY,TRAIN.LR.INIT,TRAIN.LR.PATIENCE,TRAIN.LR.STOP,TRAIN.MAX_EPOCHS,TRAIN.MAX_GRAD_NORM,TRAIN.MODEL_DIR,TRAIN.NLL_MEAN,TRAIN.OVERWRITE,TRAIN.PATIENCE,TRAIN.PBT_MODE,TRAIN.TUNE_MODE,TRAIN.USE_TB
11,198,0.08278531,0.08178982,nan,0.08184855,nan,0.007238148,0.0069580027,0.00028014526,9.2264825e-05,38.46692,0.004,0.13580246,0.13580246,0.081491776,0.08051994,nan,0.08059722,nan,0.007065243,0.006888947,0.00017629557,9.094644e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,45,182,0.21141867258157532,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_train_",False,False,3.5365105689885986e-05,4.0705652767185754e-05,80,0,0.0,0.03842704560271244,0.0022766178202343413,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.21142,TRAIN.KL.CO_WEIGHT=3.5365e-05,TRAIN.KL.IC_WEIGHT=4.0706e-05,TRAIN.L2.CON_2021-08-05_23-18-03jywqbzk1/model_dir",True,True,5000,True,True,False
12,216,0.08264576,0.08159058,nan,0.08166797,nan,0.007032733,0.006751734,0.00028099908,8.972703e-05,33.71896,0.004,0.14814815,0.14814815,0.08150105,0.08048751,nan,0.08052042,nan,0.0067529553,0.006611836,0.00014111926,8.839056e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,45,182,0.21141867258157532,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_train_",False,False,3.5365105689885986e-05,4.0705652767185754e-05,80,0,0.0,0.03842704560271244,0.0022766178202343413,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.21142,TRAIN.KL.CO_WEIGHT=3.5365e-05,TRAIN.KL.IC_WEIGHT=4.0706e-05,TRAIN.L2.CON_2021-08-05_23-18-03jywqbzk1/model_dir",True,True,5000,True,True,False
13,234,0.08251708,0.08141948,nan,0.081494026,nan,0.0067517604,0.0064844424,0.00026731894,8.7173445e-05,29.630955,0.004,0.16049382,0.16049382,0.08136969,0.08031492,nan,0.08037657,nan,0.006486246,0.0063153743,0.00017087153,8.577758e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,45,182,0.21141867258157532,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_train_",False,False,3.5365105689885986e-05,4.0705652767185754e-05,80,0,0.0,0.03842704560271244,0.0022766178202343413,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.21142,TRAIN.KL.CO_WEIGHT=3.5365e-05,TRAIN.KL.IC_WEIGHT=4.0706e-05,TRAIN.L2.CON_2021-08-05_23-18-03jywqbzk1/model_dir",True,True,5000,True,True,False
14,252,0.08241654,0.081282616,nan,0.081346035,nan,0.0064760107,0.0061929794,0.0002830316,8.453575e-05,26.703138,0.004,0.17283951,0.17283951,0.081226304,0.08014418,nan,0.0802139,nan,0.006177714,0.0059717773,0.00020593657,8.312911e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,45,182,0.21141867258157532,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_train_",False,False,3.5365105689885986e-05,4.0705652767185754e-05,80,0,0.0,0.03842704560271244,0.0022766178202343413,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.21142,TRAIN.KL.CO_WEIGHT=3.5365e-05,TRAIN.KL.IC_WEIGHT=4.0706e-05,TRAIN.L2.CON_2021-08-05_23-18-03jywqbzk1/model_dir",True,True,5000,True,True,False
15,270,0.08231069,0.081162244,nan,0.08121738,nan,0.006119621,0.005853109,0.00026651224,8.191113e-05,29.808737,0.004,0.18518518,0.18518518,0.08114833,0.080053315,nan,0.08010149,nan,0.0058324984,0.005651742,0.00018075644,8.0538994e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,45,182,0.21141867258157532,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_train_",False,False,3.5365105689885986e-05,4.0705652767185754e-05,80,0,0.0,0.03842704560271244,0.0022766178202343413,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.21142,TRAIN.KL.CO_WEIGHT=3.5365e-05,TRAIN.KL.IC_WEIGHT=4.0706e-05,TRAIN.L2.CON_2021-08-05_23-18-03jywqbzk1/model_dir",True,True,5000,True,True,False
16,288,0.082204595,0.08105309,nan,0.08110238,nan,0.0057501597,0.0054856413,0.00026451895,7.9320016e-05,25.448933,0.004,0.19753087,0.19753087,0.08109119,0.0800014,nan,0.080031425,nan,0.0054391474,0.005271812,0.00016733521,7.795598e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,45,182,0.21141867258157532,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_train_",False,False,3.5365105689885986e-05,4.0705652767185754e-05,80,0,0.0,0.03842704560271244,0.0022766178202343413,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.21142,TRAIN.KL.CO_WEIGHT=3.5365e-05,TRAIN.KL.IC_WEIGHT=4.0706e-05,TRAIN.L2.CON_2021-08-05_23-18-03jywqbzk1/model_dir",True,True,5000,True,True,False
17,306,0.082136914,0.08100162,nan,0.081031844,nan,0.005332528,0.005062327,0.0002702021,7.6790515e-05,33.758602,0.004,0.20987654,0.20987654,0.08102101,0.07993523,nan,0.07996409,nan,0.005097928,0.0048975796,0.00020034879,7.550037e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,45,182,0.21141867258157532,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_train_",False,False,3.5365105689885986e-05,4.0705652767185754e-05,80,0,0.0,0.03842704560271244,0.0022766178202343413,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.21142,TRAIN.KL.CO_WEIGHT=3.5365e-05,TRAIN.KL.IC_WEIGHT=4.0706e-05,TRAIN.L2.CON_2021-08-05_23-18-03jywqbzk1/model_dir",True,True,5000,True,True,False
18,324,0.082033366,0.080914244,nan,0.08094952,nan,0.0049617332,0.0047022207,0.0002595125,7.434065e-05,26.419138,0.004,0.22222222,0.22222222,0.0808876,0.07984099,nan,0.07987792,nan,0.004636704,0.0044693863,0.00016731741,7.3053765e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,45,182,0.21141867258157532,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_train_",False,False,3.5365105689885986e-05,4.0705652767185754e-05,80,0,0.0,0.03842704560271244,0.0022766178202343413,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.21142,TRAIN.KL.CO_WEIGHT=3.5365e-05,TRAIN.KL.IC_WEIGHT=4.0706e-05,TRAIN.L2.CON_2021-08-05_23-18-03jywqbzk1/model_dir",True,True,5000,True,True,False
19,342,0.081897244,0.08080927,nan,0.080851346,nan,0.004566276,0.004305261,0.00026101418,7.190986e-05,29.903791,0.004,0.2345679,0.2345679,0.08095948,0.07994998,nan,0.07992836,nan,0.0042330297,0.0040529505,0.00018007924,7.063467e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,45,182,0.21141867258157532,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_train_",False,False,3.5365105689885986e-05,4.0705652767185754e-05,80,0,0.0,0.03842704560271244,0.0022766178202343413,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.21142,TRAIN.KL.CO_WEIGHT=3.5365e-05,TRAIN.KL.IC_WEIGHT=4.0706e-05,TRAIN.L2.CON_2021-08-05_23-18-03jywqbzk1/model_dir",True,True,5000,True,True,False
20,360,0.08184585,0.0808068,nan,0.080820166,nan,0.0041385065,0.0038833618,0.00025514446,6.963417e-05,47.849648,0.004,0.24691358,0.24691358,0.08079103,0.0798202,nan,0.07985265,nan,0.0038633118,0.003680313,0.00018299902,6.851559e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,45,182,0.21141867258157532,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_train_",False,False,3.5365105689885986e-05,4.0705652767185754e-05,80,0,0.0,0.03842704560271244,0.0022766178202343413,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.21142,TRAIN.KL.CO_WEIGHT=3.5365e-05,TRAIN.KL.IC_WEIGHT=4.0706e-05,TRAIN.L2.CON_2021-08-05_23-18-03jywqbzk1/model_dir",True,True,5000,True,True,False
